N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1748.0,코오롱우,12770.0,하락  360,-2.74%,5000.0,13170.0,13500.0,12720.0
1749.0,신한 달러인덱스 선물 ETN(H),13670.0,보합0,0.00%,0.0,13765.0,13765.0,13670.0
1750.0,TIGER 200 금융,8405.0,하락  65,-0.77%,0.0,8425.0,8425.0,8345.0
1751.0,KODEX 철강,8840.0,하락  460,-4.95%,0.0,9185.0,9245.0,8820.0
1752.0,RISE 미국S&P원유생산기업(합성 H),5780.0,하락  35,-0.60%,0.0,5825.0,5825.0,5780.0
1753.0,한투 S&P 인버스 2X 엔달러 선물 ETN(H),13560.0,상승  70,+0.52%,0.0,13580.0,13580.0,13545.0
1754.0,하나 S&P 레버리지 WTI원유 선물 ETN,13545.0,하락  190,-1.38%,0.0,13635.0,13635.0,13545.0
1755.0,PLUS 코리아밸류업,9335.0,하락  85,-0.90%,0.0,9360.0,9420.0,9335.0
1756.0,N2 블룸버그 2X WTI원유선물 ETN,13500.0,하락  120,-0.88%,0.0,13490.0,13500.0,13355.0
1757.0,메리츠 인버스 미국채10년 ETN(H),13470.0,하락  35,-0.26%,0.0,13470.0,13470.0,13470.0
1758.0,TIGER 200 에너지화학,9100.0,하락  120,-1.30%,0.0,9220.0,9220.0,9035.0
1759.0,RISE 미국AI밸류체인데일리고정커버드콜,11685.0,하락  90,-0.76%,0.0,11755.0,11840.0,11650.0
1760.0,신한 블룸버그 레버리지 WTI원유 선물 ETN,13405.0,하락  200,-1.47%,0.0,13440.0,13595.0,13405.0
1761.0,KB 레버리지 밀 선물 ETN,8935.0,상승  210,+2.41%,0.0,8900.0,9020.0,8880.0
1762.0,KODEX 운송,4960.0,하락  35,-0.70%,0.0,5020.0,5020.0,4960.0
1763.0,KOSEF 코스닥150,5515.0,하락  35,-0.63%,0.0,5540.0,5590.0,5455.0
1764.0,HANARO 코스닥150,11115.0,하락  80,-0.71%,0.0,11215.0,11235.0,11025.0
1765.0,한투 인버스 2X 유로스탁스50 ETN(H) B,13330.0,상승  180,+1.37%,0.0,13320.0,13500.0,13210.0
1766.0,히어로즈 미국성장기업30액티브,15650.0,하락  115,-0.73%,0.0,15765.0,15830.0,15650.0
1767.0,KB 레버리지 KRX 2차전지 K-뉴딜 ETN,1208.0,상승  7,+0.58%,0.0,1188.0,1224.0,1158.0
1768.0,메리츠 미국레버리지 인플레이션국채ETN(H),6595.0,보합0,0.00%,0.0,6595.0,6595.0,6595.0
1769.0,태양금속우,3990.0,상승  65,+1.66%,500.0,3925.0,3990.0,3880.0
1770.0,RISE 배터리 리사이클링,8550.0,하락  190,-2.17%,0.0,8740.0,8750.0,8480.0
1771.0,KODEX 미국S&P500커뮤니케이션,16455.0,하락  50,-0.30%,0.0,16505.0,16700.0,16455.0
1772.0,미래에셋 인도네시아 Top5 ETN,13120.0,상승  90,+0.69%,0.0,12645.0,13310.0,12645.0
