N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1910.0,유유제약1우,4450.0,하락  20,-0.45%,1000.0,4400.0,4480.0,4295.0
1911.0,한투 베트남 VN30 선물 ETN(H),10065.0,상승  5,+0.05%,0.0,10065.0,10065.0,9990.0
1912.0,KODEX MSCI모멘텀,12580.0,하락  130,-1.02%,0.0,12710.0,12710.0,12580.0
1913.0,삼성 미국다우존스 ETN,10060.0,보합0,0.00%,0.0,10060.0,10060.0,10060.0
1914.0,N2 레버리지 국채10년 ETN,20080.0,보합0,0.00%,0.0,20140.0,20140.0,20015.0
1915.0,키움 레버리지 반도체TOP10 ETN,10020.0,상승  140,+1.42%,0.0,9760.0,10200.0,9760.0
1916.0,KOSEF 고배당,11130.0,하락  180,-1.59%,0.0,11200.0,11200.0,11065.0
1917.0,KB 레버리지 미국채 10년 선물 ETN,20025.0,보합0,0.00%,0.0,20025.0,20025.0,20025.0
1918.0,PLUS 일본엔화초단기국채(합성),10000.0,하락  15,-0.15%,0.0,10040.0,10140.0,9995.0
1919.0,신한 인버스 Russell 2000 ETN,9980.0,하락  5,-0.05%,0.0,9650.0,9980.0,9650.0
1920.0,KODEX 코스닥글로벌,9970.0,하락  20,-0.20%,0.0,10075.0,10075.0,9905.0
1921.0,메리츠 인버스 국채5년 ETN,9960.0,보합0,0.00%,0.0,9960.0,9960.0,9960.0
1922.0,RISE 미국장기국채선물(H),8300.0,상승  15,+0.18%,0.0,8295.0,8325.0,8275.0
1923.0,ACE 2차전지&친환경차액티브,6625.0,하락  85,-1.27%,0.0,6715.0,6755.0,6540.0
1924.0,HANARO 미국S&P500,16555.0,상승  45,+0.27%,0.0,16535.0,16730.0,16470.0
1925.0,KoAct 미국천연가스인프라액티브,9915.0,하락  50,-0.50%,0.0,10005.0,10080.0,9915.0
1926.0,SOL 미국S&P500엔화노출(H),9905.0,하락  15,-0.15%,0.0,9885.0,10025.0,9885.0
1927.0,JW중외제약우,28900.0,하락  150,-0.52%,2500.0,29050.0,29050.0,28600.0
1928.0,ACE 미국부동산리츠(합성 H),82295.0,상승  55,+0.07%,0.0,82240.0,82315.0,81995.0
1929.0,SOL 미국500타겟커버드콜액티브,10950.0,하락  30,-0.27%,0.0,10970.0,11085.0,10925.0
1930.0,한투 인버스 나스닥100 ETN B,9845.0,상승  105,+1.08%,0.0,9785.0,9910.0,9780.0
1931.0,한투 플래티넘 선물 ETN,9835.0,상승  40,+0.41%,0.0,9805.0,9910.0,9805.0
1932.0,HANARO 글로벌반도체TOP10 SOLACTIVE,17870.0,하락  25,-0.14%,0.0,17895.0,18100.0,17865.0
1933.0,메리츠 레버리지 국채10년 ETN,9790.0,하락  55,-0.56%,0.0,9790.0,9790.0,9790.0
1934.0,메리츠 인버스 2X 국채3년 ETN,9755.0,보합0,0.00%,0.0,9755.0,9755.0,9755.0
1935.0,KOSEF 미국달러선물인버스2X,4430.0,하락  60,-1.34%,0.0,4480.0,4480.0,4350.0
1936.0,한투 일본 엔선물 ETN C,9730.0,상승  65,+0.67%,0.0,9650.0,9790.0,9650.0
1937.0,메리츠 인버스 3X 국채3년 ETN,19460.0,보합0,0.00%,0.0,19460.0,19460.0,19460.0
1938.0,삼성 구리 선물 ETN(H),9690.0,보합0,0.00%,0.0,9690.0,9690.0,9690.0
1939.0,신한 코스피 200 TR ETN,9670.0,하락  80,-0.82%,0.0,9740.0,9740.0,9660.0
1940.0,마이티 바이오시밀러&CDMO액티브,9625.0,하락  90,-0.93%,0.0,9780.0,9780.0,9510.0
1941.0,삼성 코스피 200 TR ETN,9605.0,하락  80,-0.83%,0.0,9630.0,9655.0,9565.0
1942.0,KOSEF 블루칩,8000.0,하락  5,-0.06%,0.0,8040.0,8050.0,7935.0
1943.0,HK 200,31905.0,하락  335,-1.04%,0.0,31920.0,31920.0,31905.0
1944.0,KB STAR 50 ETN,9565.0,보합0,0.00%,0.0,9565.0,9565.0,9565.0
1945.0,삼성 인버스 코스닥 150 선물 ETN,9555.0,상승  100,+1.06%,0.0,9470.0,9625.0,9440.0
1946.0,KoAct 글로벌기후테크인프라액티브,15890.0,하락  5,-0.03%,0.0,15885.0,16035.0,15820.0
1947.0,메리츠 인버스 3X 국채5년 ETN,19020.0,보합0,0.00%,0.0,19020.0,19020.0,19020.0
1948.0,KB 레버리지 은 선물 ETN(H),18960.0,상승  160,+0.85%,0.0,19005.0,19060.0,18920.0
1949.0,TIGER AI코리아그로스액티브,11845.0,하락  10,-0.08%,0.0,11835.0,11885.0,11740.0
1950.0,신한 S&P 레버리지 유로 선물 ETN(H),9475.0,상승  20,+0.21%,0.0,9475.0,9475.0,9475.0
